Station,Latitude,Longitude,Line,Colour,Distance,Extra,,,,,,
Cockfosters,51.65117,-0.14811,Piccadilly,#003688,15.62762678,,,,,,,
Colindale,51.59556,-0.24996,Northern,#000000,13.1342475,,,,,,,
Colliers Wood,51.41823649,-0.17800983,Northern,#000000,11.29782472,,,,,,,
Covent Garden,51.51308,-0.12427,Piccadilly,#003688,0.613831375,,,,,,,
Crossharbour,51.495086,-0.014543,DLR,#00A4A7,7.241955599,,,,,,,
Croxley,51.64733268,-0.441479115,Metropolitation,#9B0056,27.08100136,,,,,,,
Custom House,51.509731,0.026013,DLR,#00A4A7,9.799742283,,,,,,,
Cutty Sark,51.481713,-0.010811,DLR,#00A4A7,7.998413785,,,,,,,
Cyprus,51.50836,0.06399,DLR,#00A4A7,12.431495,,,,,,,
Dagenham East,51.54396,0.16439,District,#00782A,19.68670437,,,,,,,
Dagenham Heathway,51.54173,0.14543,District,#00782A,18.35232003,,,,,,,
Debden,51.64535,0.08364,Central,#E32017,20.22376946,,,,,,,
Deptford Bridge,51.478016,-0.022496,DLR,#00A4A7,7.473249419,,,,,,,
Devons Road,51.522274,-0.01708,DLR,#00A4A7,6.906516311,,,,,,,
Dollis Hill,51.5525,-0.23884,Jubilee,#A0A5A9,9.639811744,,,,,,,
Ealing Broadway,51.51482,-0.30118,Central,#E32017,12.8496635,,,,,,,
Ealing Broadway 2,51.51482,-0.30118,District,#00782A,12.8496635,,,,,,,
Ealing Common,51.50997,-0.28825,District,#00782A,11.95429194,,,,,,,
Ealing Common 2,51.50997,-0.28825,Piccadilly,#003688,11.95429194,,,,,,,
Earl's Court,51.491521,-0.193906,District,#00782A,5.886688936,,,,,,,
Earl's Court 2,51.491521,-0.193906,Piccadilly,#003688,5.886688936,,,,,,,
East Acton,51.51753,-0.24827,Central,#E32017,9.204321563,,,,,,,
East Finchley,51.58729747,-0.164956323,Northern,#000000,9.033524238,,,,,,,
East Ham,51.53931,0.0526,District,#00782A,12.01963994,,,,,,,
East Ham 2,51.53931,0.0526,Hammersmith & City,#F3A9BB,12.01963994,,,,,,,
East India,51.509516,-0.002128,DLR,#00A4A7,7.854002524,,,,,,,
East Putney,51.459015,-0.211138,District,#00782A,8.868286107,,,,,,,
Eastcote,51.57676,-0.39629,Metropolitation,#9B0056,20.70334896,,,,,,,
Eastcote 2,51.57676,-0.39629,Piccadilly,#003688,20.70334896,,,,,,,
Edgware,51.61385,-0.27515,Northern,#000000,15.80351411,,,,,,,
Edgware Road,51.51956,-0.169068,Bakerloo,#B36305,3.795688541,,,,,,,
Edgware Road 2,51.520195,-0.166986,Circle,#FFD300,3.671908298,,,,,,,
Edgware Road 3,51.520195,-0.166986,District,#00782A,3.671908298,,,,,,,
Edgware Road 4,51.520195,-0.166986,Hammersmith & City,#F3A9BB,3.671908298,,,,,,,
Elephant & Castle,51.49467,-0.10047,Bakerloo,#B36305,2.200302235,,,,,,,
Elephant & Castle 2,51.49467,-0.10047,Northern,#000000,2.200302235,,,,,,,
Elm Park,51.54969,0.19779,District,#00782A,22.07385521,,,,,,,
Elverson Road,51.468768,-0.016265,DLR,#00A4A7,8.393603868,,,,,,,
Embankment,51.50717,-0.12195,Bakerloo,#B36305,0.704374924,,,,,,,
Embankment 2,51.50717,-0.12195,Circle,#FFD300,0.704374924,,,,,,,
Embankment 3,51.50717,-0.12195,District,#00782A,0.704374924,,,,,,,
Embankment 4,51.50717,-0.12195,Northern,#000000,0.704374924,,,,,,,
Epping,51.69365,0.11495,Central,#E32017,25.70943815,,,,,,,
Euston,51.52774,-0.13303,Northern,#000000,2.119304855,,,,,,,
Euston 3,51.52774,-0.13303,Victoria,#0098D4,2.119304855,,,,,,,
Euston Square,51.52584,-0.1357,Circle,#FFD300,2.069329688,,,,,,,
Euston Square 2,51.52584,-0.1357,Hammersmith & City,#F3A9BB,2.069329688,,,,,,,
Euston Square 3,51.52584,-0.1357,Metropolitation,#9B0056,2.069329688,,,,,,,
